ts,symbol,event,side,price,size,entry,exit,gross_pnl,net_pnl,reason
2026-03-15T23:46:22.820558645+03:00,XBTUSDTM,enter,long,71760.50000000,41.80572878,71760.50000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:46:26.754814738+03:00,XBTUSDTM,exit,long,71768.26460600,41.80572878,71760.50000000,71768.26460600,0.32460501,-2.55555080,model_exit_long
2026-03-15T23:46:42.453783592+03:00,XBTUSDTM,enter,short,71766.20000000,41.80240838,71766.20000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:46:51.252656656+03:00,XBTUSDTM,exit,short,71767.03531200,41.80240838,71766.20000000,71767.03531200,-0.03491805,-2.91493481,ising_reversal_short
2026-03-15T23:47:00.560620171+03:00,XBTUSDTM,enter,long,71775.00000000,41.79728318,71775.00000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:47:01.764974851+03:00,XBTUSDTM,exit,long,71773.46450200,41.79728318,71775.00000000,71773.46450200,-0.06417964,-2.94414884,ising_reversal_long
2026-03-15T23:47:03.67958324+03:00,XBTUSDTM,enter,short,71772.20000000,41.79891379,71772.20000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:47:04.952700144+03:00,XBTUSDTM,exit,short,71760.03517200,41.79891379,71772.20000000,71760.03517200,0.50847660,-2.37127933,ising_reversal_short
2026-03-15T23:47:23.653070367+03:00,XBTUSDTM,enter,long,71765.00000000,41.80310736,71765.00000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:47:25.010649935+03:00,XBTUSDTM,exit,long,71766.76463600,41.80310736,71765.00000000,71766.76463600,0.07376727,-2.80626814,model_exit_long
2026-03-15T23:47:43.854002641+03:00,XBTUSDTM,enter,long,71768.30000000,41.80118520,71768.30000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:47:45.954320482+03:00,XBTUSDTM,exit,long,71766.76463600,41.80118520,71768.30000000,71766.76463600,-0.06418003,-2.94414923,model_exit_long
2026-03-15T23:47:49.159758214+03:00,XBTUSDTM,enter,long,71771.90000000,41.79908850,71771.90000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:47:54.834263117+03:00,XBTUSDTM,exit,long,71780.46436200,41.79908850,71771.90000000,71780.46436200,0.35798253,-2.52218931,ising_reversal_long
2026-03-15T23:47:56.160628737+03:00,XBTUSDTM,enter,short,71781.90000000,41.79326543,71781.90000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:47:58.554103606+03:00,XBTUSDTM,exit,short,71776.33549800,41.79326543,71781.90000000,71776.33549800,0.23255871,-2.64732966,ising_reversal_short
2026-03-15T23:47:59.962209337+03:00,XBTUSDTM,enter,short,71774.80000000,41.79739964,71774.80000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:48:02.558622794+03:00,XBTUSDTM,exit,short,71776.33549800,41.79739964,71774.80000000,71776.33549800,-0.06417982,-2.94421063,ising_reversal_short
2026-03-15T23:48:12.257822488+03:00,XBTUSDTM,enter,long,71774.90000000,41.79734141,71774.90000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:48:17.615388041+03:00,XBTUSDTM,exit,long,71773.36450400,41.79734141,71774.90000000,71773.36450400,-0.06417965,-2.94414884,ising_reversal_long
2026-03-15T23:48:19.956173079+03:00,XBTUSDTM,enter,long,71774.90000000,41.79734141,71774.90000000,0.00000000,0.00000000,0.00000000,ising_long_signal
2026-03-15T23:48:29.753283232+03:00,XBTUSDTM,exit,long,71773.36450400,41.79734141,71774.90000000,71773.36450400,-0.06417965,-2.94414884,model_exit_long
2026-03-15T23:48:34.053874157+03:00,XBTUSDTM,enter,short,71769.60000000,41.80042804,71769.60000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:48:40.509072615+03:00,XBTUSDTM,exit,short,71771.13539400,41.80042804,71769.60000000,71771.13539400,-0.06418013,-2.94421093,ising_reversal_short
2026-03-15T23:48:51.755340704+03:00,XBTUSDTM,enter,short,71773.80000000,41.79798199,71773.80000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:48:56.053084001+03:00,XBTUSDTM,exit,short,71775.33547800,41.79798199,71773.80000000,71775.33547800,-0.06417988,-2.94421069,model_exit_short
2026-03-15T23:48:57.854038367+03:00,XBTUSDTM,enter,short,71771.10000000,41.79955442,71771.10000000,0.00000000,0.00000000,0.00000000,ising_short_signal
2026-03-15T23:49:04.356793412+03:00,XBTUSDTM,exit,short,71772.63542400,41.79955442,71771.10000000,71772.63542400,-0.06418004,-2.94421085,model_exit_short
