ts,symbol,best_bid,best_ask,mid,micro,spread,tick,imb3,imb5,qd_bid,qd_ask,qr_bid,qr_ask,book_ofi,trade_ofi,net_ofi,micro_drift,ret1s,vol10s,entropy10s,ising_field,ising_magnet,ising_energy,ising_prob_up,ising_prob_down,ising_suscept,ising_spin,ising_consensus,ising_criticalness,long_score,short_score,long,short,reason
2026-03-13T22:29:29.556602962+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90088314,0.10000000,0.00000000,-0.98233712,-0.98233712,0.47488261,0.00000000,0.00000000,0.00000000,0.60586290,-0.99059973,-0.11254528,-0.00000001,-0.00000512,0.00001227,0.00000000,-0.38548500,-1.00000000,-0.38548500,0.15497086,0.84502914,0.00000000,-1,1.00000000,0.00000000,0.02619068,0.83928819,false,false,no_strong_signal
2026-03-13T22:29:29.676922909+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90188911,0.10000000,0.00000000,-0.96221771,-0.96221771,0.00000000,0.26115165,0.59665953,0.00000000,0.62046668,-0.99081505,-0.10461010,0.00000001,-0.00000512,0.00001218,0.00000000,-0.25307081,-1.00000000,-1.10307081,0.00774055,0.99225945,0.00000000,-1,1.00000000,0.00000000,0.01647581,0.75086553,false,false,no_strong_signal
2026-03-13T22:29:29.787291272+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90188911,0.10000000,0.00000000,-0.96221771,-0.96221771,0.00000000,0.00000000,0.00000000,0.00000000,0.63200733,-0.99081505,-0.09826274,0.00000000,-0.00000512,0.00001209,0.00000000,-0.31743883,-1.00000000,-1.16743883,0.00584253,0.99415747,0.00000000,-1,1.00000000,0.00000000,-0.02948215,0.80948215,false,false,no_strong_signal
2026-03-13T22:29:30.015798404+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90188911,0.10000000,0.00000000,-0.96221771,-0.96221771,0.00000000,0.00000000,0.00000000,0.00000000,0.63200733,-0.99081505,-0.09826274,0.00000000,-0.00000512,0.00001201,0.00000000,-0.31743883,-1.00000000,-1.16743883,0.00584253,0.99415747,0.00000000,-1,1.00000000,0.00000000,-0.02948215,0.80948215,false,false,no_strong_signal
2026-03-13T22:29:30.218116201+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90170679,0.10000000,0.00000000,-0.96586429,-0.96586429,0.09819138,0.00000000,0.00000000,0.00000000,0.62875234,-0.99084045,-0.10006442,-0.00000000,-0.00000512,0.00001192,0.00000000,-0.33088325,-1.00000000,-1.18088325,0.00550879,0.99449121,0.00000000,-1,1.00000000,0.00000000,-0.03065822,0.82833266,false,false,no_strong_signal
2026-03-13T22:29:30.431897499+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90170679,0.10000000,0.00000000,-0.96586429,-0.96586429,0.00000000,0.00000000,0.00000000,0.00000000,0.62875234,-0.99084045,-0.10006442,0.00000000,-0.00000512,0.00001184,0.00000000,-0.31910028,-1.00000000,-1.16910028,0.00580023,0.99419977,0.00000000,-1,1.00000000,0.00000000,-0.03053581,0.81053581,false,false,no_strong_signal
2026-03-13T22:29:30.558246661+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90201463,0.10000000,0.00000000,-0.95970749,-0.95970749,0.00000000,0.01090583,0.17115741,0.00000000,0.62928879,-0.99240809,-0.10047480,0.00000000,-0.00000512,0.00001176,0.00000000,-0.30622929,-1.00000000,-1.15622929,0.00613611,0.99386389,0.00000000,-1,1.00000000,0.00000000,-0.02776608,0.79261339,false,false,no_strong_signal
2026-03-13T22:29:30.655524408+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90201463,0.10000000,0.00000000,-0.95970749,-0.95970749,0.00000000,0.00000000,0.00000000,0.00000000,0.65121320,-0.99240809,-0.08841638,0.00000000,-0.00000512,0.00001168,0.00000000,-0.31254557,-1.00000000,-1.16254557,0.00596893,0.99403107,0.00000000,-1,1.00000000,0.00000000,-0.02629144,0.80629144,false,false,no_strong_signal
2026-03-13T22:29:30.767701897+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90199098,0.10000000,0.00000000,-0.96018036,-0.96018036,0.00000000,0.00000000,0.00000000,0.01211935,0.64912717,-0.99240809,-0.08956370,-0.00000000,-0.00000512,0.00001160,0.00000000,-0.31388687,-1.00000000,-1.16388687,0.00593402,0.99406598,0.00000000,-1,1.00000000,0.00000000,-0.02791801,0.80670607,false,false,no_strong_signal
2026-03-13T22:29:30.871716689+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90082711,0.10000000,0.00000000,-0.98345787,-0.98345787,0.58944906,0.00000000,0.00000000,0.00000000,0.64704640,-0.99240809,-0.09070812,-0.00000002,-0.00000503,0.00001152,0.00000000,-0.38997959,-1.00000000,-1.23997959,0.00425282,0.99574718,0.00000000,-1,1.00000000,0.00000000,-0.03100395,0.91710478,false,false,no_strong_signal
2026-03-13T22:29:30.971661066+03:00,BTC-USDT,71076.90000000,71077.00000000,71076.95000000,71076.90075561,0.10000000,0.00000000,-0.98488785,-0.98488785,0.00000000,0.00000000,0.00000000,0.09541374,0.63065204,-0.99240809,-0.09972502,-0.00000000,-0.00000503,0.00001145,0.00000000,-0.32924836,-1.00000000,-1.17924836,0.00554834,0.99445166,0.00000000,-1,1.00000000,0.00000000,-0.04282450,0.81328313,false,false,no_strong_signal
2026-03-13T22:29:31.106292833+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.42501657,0.10000000,0.00000000,-0.49966859,-0.49966859,0.00000000,0.00000000,47.88878219,0.11567307,0.67216420,-0.99344591,-0.07736035,-0.00000669,-0.00000520,0.00001139,0.00000000,2.00000000,-0.83333333,-1.15000000,0.99369445,0.00630555,0.67222222,1,0.83333333,0.11203704,0.39887065,-4.51068654,false,false,no_strong_signal
2026-03-13T22:29:31.209283993+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.42287261,0.10000000,0.00000000,-0.54254770,-0.54254770,0.00000000,0.00000000,0.02936770,0.15804598,0.64457392,-0.99344591,-0.09253500,-0.00000003,-0.00000520,0.00001131,0.00000000,-0.22194892,-0.84615385,-0.93028225,0.01641123,0.98358877,0.62485207,-1,0.84615385,0.09613109,-0.02170766,0.70066497,false,false,no_strong_signal
2026-03-13T22:29:31.34671938+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40342795,0.10000000,0.00000000,-0.93144100,-0.93144100,0.87432382,0.00000000,0.00000000,0.04997062,0.58153455,-0.99344591,-0.12720666,-0.00000027,-0.00000520,0.00001124,0.00000000,-0.43060920,-0.85714286,-1.14983997,0.00630996,0.99369004,0.58367347,-1,0.85714286,0.08338192,-0.07591115,0.93351686,false,true,ising_short_signal
2026-03-13T22:29:31.436952738+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40342795,0.10000000,0.00000000,-0.93144100,-0.93144100,0.00000000,0.00000000,0.00000000,0.00000000,0.58153455,-0.99344591,-0.12720666,0.00000000,-0.00000516,0.00001117,0.00000000,-0.32269206,-0.86666667,-1.05126349,0.00970310,0.99029690,0.54755556,-1,0.86666667,0.07300741,-0.06632221,0.77788014,false,false,no_strong_signal
2026-03-13T22:29:31.551438708+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40342795,0.10000000,0.00000000,-0.93144100,-0.93144100,0.00000000,0.00000000,0.00000000,0.00000000,0.58153455,-0.99344591,-0.12720666,0.00000000,-0.00000516,0.00001111,0.00000000,-0.32269206,-0.87500000,-1.05935872,0.00936675,0.99063325,0.51562500,-1,0.87500000,0.06445312,-0.06376588,0.78071901,false,false,no_strong_signal
2026-03-13T22:29:31.639134883+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40243370,0.10000000,0.00000000,-0.95132605,-0.95132605,0.29727774,0.00000000,0.00000000,0.00000000,0.57462667,-0.99344591,-0.13100599,-0.00000001,-0.00000516,0.00001104,0.00000000,-0.36479569,-0.88235294,-1.10854569,0.00755771,0.99244229,0.48719723,-1,0.88235294,0.05731732,-0.06609231,0.84120051,false,true,ising_short_signal
2026-03-13T22:29:31.752064396+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40239232,0.10000000,0.00000000,-0.95215370,-0.95215370,0.00000000,0.00000000,0.00000000,0.01772947,0.57096610,-0.99344591,-0.13301931,-0.00000000,-0.00000516,0.00001097,0.00000000,-0.33126330,-0.88888889,-1.08126330,0.00851345,0.99148655,0.46172840,-1,0.88888889,0.05130316,-0.06614695,0.79000912,false,true,ising_short_signal
2026-03-13T22:29:31.848072396+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40239232,0.10000000,0.00000000,-0.95215370,-0.95215370,0.00000000,0.00000000,0.00000000,0.00000000,0.57096610,-0.99344591,-0.13301931,0.00000000,-0.00000516,0.00001091,0.00000000,-0.33019953,-0.89473684,-1.08575509,0.00834823,0.99165177,0.43878116,-1,0.89473684,0.04618749,-0.06267457,0.79184733,false,false,no_strong_signal
2026-03-13T22:29:32.063527354+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40226709,0.10000000,0.00000000,-0.95465827,-0.95465827,0.00000000,0.00000000,0.00000000,0.05659147,0.57678140,-0.99344591,-0.12982089,-0.00000000,-0.00000516,0.00001084,0.00000000,-0.33280044,-0.90000000,-1.09332676,0.00807690,0.99192310,0.41800000,-1,0.90000000,0.04180000,-0.06630625,0.79294310,false,true,ising_short_signal
2026-03-13T22:29:32.173609847+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40226709,0.10000000,0.00000000,-0.95465827,-0.95465827,0.00000000,0.00000000,0.00000000,0.00000000,0.57678140,-0.99344591,-0.12982089,0.00000000,-0.00000286,0.00001078,0.00000000,-0.32940495,-0.90476190,-1.09440495,0.00803898,0.99196102,0.39909297,-1,0.90476190,0.03800885,-0.05927512,0.79434693,false,false,no_strong_signal
2026-03-13T22:29:32.360780203+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40297765,0.10000000,0.00000000,-0.94044700,-0.94044700,0.00000000,0.00000000,0.32304482,0.00000000,0.57722975,-0.99344591,-0.12957430,0.00000001,-0.00000102,0.00001072,0.00000000,-0.30650396,-0.90909091,-1.07555158,0.00872822,0.99127178,0.38181818,-1,0.90909091,0.03471074,-0.05568337,0.76093261,false,false,no_strong_signal
2026-03-13T22:29:32.579242278+03:00,BTC-USDT,71076.40000000,71076.50000000,71076.45000000,71076.40250946,0.10000000,0.00000000,-0.94981070,-0.94981070,0.00000000,0.00000000,0.00000000,0.19229350,0.53033519,-0.99344591,-0.15536631,-0.00000001,-0.00000102,0.00001066,0.00000000,-0.35092624,-0.91304348,-1.12365351,0.00707509,0.99292491,0.36597353,-1,0.91304348,0.03182379,-0.08330545,0.80386109,false,true,ising_short_signal
2026-03-13T22:29:32.703521679+03:00,BTC-USDT,71076.00000000,71076.10000000,71076.05000000,71076.00056418,0.10000000,0.00000000,-0.98871640,-0.98871640,0.82993518,0.22846043,0.00000000,0.00000000,0.58205167,-0.99355371,-0.12697075,-0.00000566,-0.00000119,0.00001061,0.00000000,-0.40851347,-0.91666667,-1.18460043,0.00541991,0.99458009,0.35138889,-1,0.91666667,0.02928241,-0.01983279,0.95214492,false,true,ising_short_signal
