ts,symbol,best_bid,best_ask,mid,micro,spread,tick,imb3,imb5,qd_bid,qd_ask,qr_bid,qr_ask,book_ofi,trade_ofi,net_ofi,micro_drift,ret1s,vol10s,entropy10s,ising_field,ising_magnet,ising_energy,ising_prob_up,ising_prob_down,ising_suscept,ising_spin,ising_consensus,ising_criticalness,long_score,short_score,long,short,reason
2026-03-15T23:22:47.356513011+03:00,XBTUSDTM,71507.20000000,71507.30000000,71507.25000000,71507.29679054,0.10000000,0.10000000,0.96830189,0.98197492,0.00000000,0.99010753,4.04790419,0.00000000,-0.95803357,1.00000000,-0.07691847,1.00000000,0.00000305,0.00000753,0.00000000,0.34471827,1.00000000,-0.34471827,0.65033064,0.34966936,0.00000000,1,1.00000000,0.00000000,0.75119818,-0.51661331,false,false,no_strong_signal
2026-03-15T23:22:47.45611267+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.79904056,0.10000000,0.10000000,0.96840077,0.94395280,0.00000000,0.00000000,0.04230921,2.30434783,-0.16893343,1.00000000,0.35708661,1.00000000,0.00000453,0.00000833,0.00000000,0.20371588,1.00000000,-0.32371588,0.64168582,0.35831418,0.00000000,1,1.00000000,0.00000000,0.57856208,-0.36629464,false,false,no_strong_signal
2026-03-15T23:22:47.556005722+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.79683219,0.10000000,0.10000000,0.91353383,0.89756817,0.02314112,0.00000000,0.00000000,0.82894737,-0.17790759,0.84375000,0.28183832,-0.02208366,0.00000453,0.00000830,0.00000000,0.14714675,1.00000000,-0.26714675,0.61795191,0.38204809,0.00000000,1,1.00000000,0.00000000,0.49896554,-0.16157875,false,false,no_strong_signal
2026-03-15T23:22:47.71724724+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.77961992,0.10000000,0.10000000,0.61776983,0.61258083,0.00000000,0.00000000,0.06524272,3.74100719,-0.22972301,0.84375000,0.25333985,-0.17212270,0.00000453,0.00000828,0.00000000,0.02386985,1.00000000,-0.14386985,0.56438203,0.43561797,0.00000000,1,1.00000000,0.00000000,0.16267227,-0.06717226,false,false,no_strong_signal
2026-03-15T23:22:47.75639842+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78073155,0.10000000,0.10000000,0.61577287,0.63903282,0.00000000,0.04855842,0.03791469,0.00000000,-0.21481239,0.85401460,0.26615976,0.01111627,0.00000453,0.00000826,0.00000000,0.14406532,1.00000000,-0.26406532,0.61664158,0.38335842,0.00000000,1,1.00000000,0.00000000,0.51669484,-0.11195867,false,false,no_strong_signal
2026-03-15T23:22:47.921880668+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78091850,0.10000000,0.10000000,0.59987651,0.63369963,0.00000000,0.00000000,0.01826484,0.03668262,-0.20092227,0.85401460,0.27379932,0.00186951,0.00000453,0.00000824,0.00000000,0.13970523,1.00000000,-0.25970523,0.61478462,0.38521538,0.00000000,1,1.00000000,0.00000000,0.50545037,-0.10984616,false,false,no_strong_signal
2026-03-15T23:22:47.956638123+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.77998721,0.10000000,0.10000000,0.59938272,0.63140124,0.00000000,0.00000000,0.00000000,0.00769231,-0.20563196,0.85401460,0.27120899,-0.00931287,0.00000453,0.00000821,0.00000000,0.13851402,1.00000000,-0.25851402,0.61427671,0.38572329,0.00000000,1,1.00000000,0.00000000,0.50471188,-0.10532726,false,false,no_strong_signal
2026-03-15T23:22:48.056172411+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78091850,0.10000000,0.10000000,0.61735331,0.64809551,0.00000000,0.05496183,0.00000000,0.00000000,-0.16598916,0.85401460,0.29301253,0.00931287,0.00000453,0.00000819,0.00000000,0.14917254,1.00000000,-0.26917254,0.61881241,0.38118759,0.00000000,1,1.00000000,0.00000000,0.53013827,-0.12134438,false,false,no_strong_signal
2026-03-15T23:22:48.156829498+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78142094,0.10000000,0.10000000,0.62708776,0.65576497,0.00000000,0.00000000,0.03035529,0.00323102,-0.14905692,0.85401460,0.30232526,0.00502437,0.00000453,0.00000817,0.00000000,0.14937809,1.00000000,-0.26937809,0.61889969,0.38110031,0.00000000,1,1.00000000,0.00000000,0.52599837,-0.12868527,false,false,no_strong_signal
2026-03-15T23:22:48.256402052+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78142094,0.10000000,0.10000000,0.62708776,0.65576497,0.00000000,0.00000000,0.00000000,0.00000000,-0.14905692,0.85401460,0.30232526,0.00000000,0.00000453,0.00000815,0.00000000,0.14828398,1.00000000,-0.26828398,0.61843507,0.38156493,0.00000000,1,1.00000000,0.00000000,0.52544193,-0.12544193,false,false,no_strong_signal
2026-03-15T23:22:48.356159136+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78142094,0.10000000,0.10000000,0.62708776,0.65576497,0.00000000,0.00000000,0.00000000,0.00000000,-0.14905692,0.85401460,0.30232526,0.00000000,0.00000453,0.00000813,0.00000000,0.14828398,1.00000000,-0.26828398,0.61843507,0.38156493,0.00000000,1,1.00000000,0.00000000,0.52544193,-0.12544193,false,false,no_strong_signal
2026-03-15T23:22:48.456273932+03:00,XBTUSDTM,71510.70000000,71510.80000000,71510.75000000,71510.78142094,0.10000000,0.10000000,0.62708776,0.64351320,0.04151322,0.00000000,0.00000000,0.00000000,-0.09158945,0.85401460,0.33393237,0.00000000,0.00000453,0.00000811,0.00000000,0.15147689,1.00000000,-0.27147689,0.61979034,0.38020966,0.00000000,1,1.00000000,0.00000000,0.53716969,-0.13052758,false,false,no_strong_signal
